community_area,community_area_name,area_km2,n_bus_stops,n_rail_stations,bus_stops_per_km2,rail_stations_per_km2,bus_access_z,rail_access_z,weekday_departures,departures_per_km2,freq_access_z,transit_access,transit_access_z,transit_deficit
43,SOUTH SHORE,7.594657399806249,179,0.0,23.56920010698133,0.0,0.7423760149412295,-0.545045543464273,44241,5825.27922867576,0.5707282751052535,0.25601958219407,0.2810072614574531,-0.2810072614574531
44,CHATHAM,7.64196025871456,143,2.0,18.712476270329855,0.2617129548297882,0.02355516395321883,-0.02069207125170278,35216,4608.24170864291,0.11120471933876032,0.03802260401342546,0.04173363512168613,-0.04173363512168613
45,AVALON PARK,3.2353922239755106,62,0.0,19.163055267474515,0.0,0.09024324197829259,-0.545045543464273,13064,4037.841193778824,-0.10416454289590647,-0.18632228146062899,-0.20450745842584564,0.20450745842584564
46,SOUTH CHICAGO,8.658353316413457,119,0.0,13.743952880094904,0.0,-0.7118126131005658,-0.545045543464273,34603,3996.48740764642,-0.1197787195627496,-0.4588789587091961,-0.5036658462694172,0.5036658462694172
47,BURNSIDE,1.5777504900126575,19,0.0,12.042461796254978,0.0,-0.9636423052902675,-0.545045543464273,4613,2923.7829613749586,-0.5248056421705948,-0.6778311636417117,-0.7439879301150114,0.7439879301150114
48,CALUMET HEIGHTS,4.532529506122098,79,0.0,17.42956110783052,0.0,-0.16632307493157772,-0.545045543464273,19171,4229.647037952138,-0.03174335449332048,-0.24770399096305706,-0.27188006306426443,0.27188006306426443
49,ROSELAND,12.46859909050143,212,1.0,17.002712049784442,0.08020147193294548,-0.2294989962867557,-0.3843583496952454,65719,5270.760533961245,0.36135559912782683,-0.08416724895139144,-0.09238202769313802,0.09238202769313802
50,PULLMAN,5.477165108302967,47,0.0,8.581081466533035,0.0,-1.4759449269520635,-0.545045543464273,10568,1929.465296560024,-0.9002356362145435,-0.9737420355436267,-1.0687798973388778,1.0687798973388778
51,SOUTH DEERING,28.20138017173012,121,0.0,4.2905701516443475,0.0,-2.110963325829845,-0.545045543464273,22306,790.9541967155275,-1.3301095392525064,-1.3287061361822081,-1.4583887271843392,1.4583887271843392
52,EAST SIDE,7.727178703392236,74,0.0,9.576587114196538,0.0,-1.328604818499403,-0.545045543464273,9258,1198.1086959896154,-1.1763779737312519,-1.0166761118983094,-1.1159043677260263,1.1159043677260263
53,WEST PULLMAN,9.224313721469663,104,0.0,11.274551488631525,0.0,-1.0772970979805043,-0.545045543464273,21976,2382.3994568669846,-0.7292187920775217,-0.7838538111740997,-0.8603584576356802,0.8603584576356802
54,RIVERDALE,9.133600263528283,23,0.0,2.5181745791790506,0.0,-2.3732872578748023,-0.545045543464273,5473,599.2160639933454,-1.4025051614697628,-1.4402793209362794,-1.5808515280026831,1.5808515280026831
55,HEGEWISCH,13.549805897309966,47,0.0,3.4686843749791927,0.0,-2.2326067738140556,-0.545045543464273,5416,399.71052286994274,-1.4778335668336908,-1.4184952947040064,-1.5569413665119574,1.5569413665119574
56,GARFIELD RIDGE,10.944726480272442,137,1.0,12.517443925797378,0.09136820383793708,-0.8933424344215201,-0.361985308775443,28703,2622.541554760308,-0.6385470182852178,-0.6312915871607269,-0.6929060604227244,0.6929060604227244
