month,pickup_community_area,n_trips
2023-09-01,42,52748
2023-09-01,43,67421
2023-09-01,44,52598
2023-09-01,45,11195
2023-09-01,46,24452
2023-09-01,47,4238
2023-09-01,48,11833
2023-09-01,49,48457
2023-09-01,50,13291
2023-09-01,51,14849
2023-09-01,52,4603
2023-09-01,53,25089
2023-09-01,54,8470
2023-09-01,55,3879
2023-09-01,56,115284
2023-09-01,57,14080
2023-09-01,58,26865
2023-09-01,59,15816
2023-09-01,60,34482
2023-09-01,61,33502
2023-09-01,62,10889
2023-09-01,63,19924
2023-09-01,64,12018
2023-09-01,65,19745
2023-09-01,66,39797
2023-09-01,67,31988
2023-09-01,68,38494
2023-09-01,69,50424
2023-09-01,70,25069
2023-09-01,71,53219
2023-09-01,72,10452
2023-09-01,73,26849
2023-09-01,74,6670
2023-09-01,75,19844
2023-09-01,76,337696
2023-09-01,77,97893
2023-10-01,1,87199
2023-10-01,2,66119
2023-10-01,3,150497
2023-10-01,4,69737
2023-10-01,5,71634
2023-10-01,6,425491
2023-10-01,7,337149
2023-10-01,8,1075693
2023-10-01,9,6573
2023-10-01,10,25652
2023-10-01,11,23311
2023-10-01,12,9896
2023-10-01,13,18062
2023-10-01,14,48124
2023-10-01,15,49820
2023-10-01,16,66728
2023-10-01,17,23433
2023-10-01,18,10715
2023-10-01,19,60562
2023-10-01,20,19416
2023-10-01,21,70505
2023-10-01,22,214743
2023-10-01,23,63633
2023-10-01,24,355352
2023-10-01,25,112521
2023-10-01,26,25716
2023-10-01,27,36485
2023-10-01,28,604622
2023-10-01,29,58549
2023-10-01,30,46916
2023-10-01,31,86040
2023-10-01,32,591234
2023-10-01,33,163881
2023-10-01,34,32617
2023-10-01,35,43823
2023-10-01,36,9661
2023-10-01,37,6789
2023-10-01,38,43464
2023-10-01,39,32694
2023-10-01,40,24455
2023-10-01,41,158221
2023-10-01,42,62458
2023-10-01,43,70048
2023-10-01,44,53847
2023-10-01,45,11429
2023-10-01,46,25637
2023-10-01,47,4314
2023-10-01,48,12426
2023-10-01,49,50927
2023-10-01,50,14460
2023-10-01,51,13682
2023-10-01,52,4912
2023-10-01,53,26304
2023-10-01,54,8827
2023-10-01,55,3839
2023-10-01,56,118141
2023-10-01,57,14577
2023-10-01,58,28018
2023-10-01,59,16815
2023-10-01,60,34767
2023-10-01,61,34355
2023-10-01,62,11023
2023-10-01,63,21031
2023-10-01,64,12284
2023-10-01,65,20315
2023-10-01,66,41260
2023-10-01,67,33117
2023-10-01,68,40154
2023-10-01,69,52550
2023-10-01,70,25973
2023-10-01,71,55279
2023-10-01,72,11178
2023-10-01,73,27829
2023-10-01,74,7164
2023-10-01,75,21358
2023-10-01,76,363568
2023-10-01,77,104770
2023-11-01,1,83541
2023-11-01,2,64242
2023-11-01,3,137840
2023-11-01,4,66509
2023-11-01,5,66137
2023-11-01,6,382199
2023-11-01,7,297500
2023-11-01,8,945345
2023-11-01,9,7572
2023-11-01,10,25376
2023-11-01,11,22187
2023-11-01,12,9685
2023-11-01,13,17211
2023-11-01,14,45616
2023-11-01,15,48743
2023-11-01,16,63778
2023-11-01,17,22883
2023-11-01,18,9807
2023-11-01,19,59308
2023-11-01,20,18649
2023-11-01,21,65608
2023-11-01,22,201169
2023-11-01,23,62632
2023-11-01,24,319327
2023-11-01,25,113883
2023-11-01,26,26863
2023-11-01,27,35721
2023-11-01,28,556757
2023-11-01,29,59666
2023-11-01,30,46947
2023-11-01,31,77322
2023-11-01,32,533924
2023-11-01,33,145093
2023-11-01,34,30888
2023-11-01,35,43344
2023-11-01,36,9980
2023-11-01,37,6393
2023-11-01,38,42859
2023-11-01,39,32257
2023-11-01,40,24579
2023-11-01,41,141767
2023-11-01,42,59172
2023-11-01,43,72017
2023-11-01,44,55260
2023-11-01,45,11583
2023-11-01,46,26163
2023-11-01,47,4261
2023-11-01,48,12615
2023-11-01,49,51558
2023-11-01,50,14373
2023-11-01,51,15495
2023-11-01,52,4694
2023-11-01,53,26725
2023-11-01,54,9060
2023-11-01,55,3881
2023-11-01,56,108296
2023-11-01,57,13720
2023-11-01,58,26831
2023-11-01,59,16205
2023-11-01,60,32471
2023-11-01,61,34460
2023-11-01,62,10669
2023-11-01,63,20349
2023-11-01,64,12176
2023-11-01,65,19236
2023-11-01,66,41659
2023-11-01,67,33812
2023-11-01,68,40631
2023-11-01,69,53175
2023-11-01,70,25431
2023-11-01,71,56818
2023-11-01,72,11487
2023-11-01,73,28702
2023-11-01,74,7124
2023-11-01,75,21723
2023-11-01,76,317215
2023-11-01,77,98083
2023-12-01,1,89559
2023-12-01,2,68599
2023-12-01,3,156138
2023-12-01,4,74823
2023-12-01,5,76702
2023-12-01,6,460385
2023-12-01,7,344930
2023-12-01,8,1048482
2023-12-01,9,8432
2023-12-01,10,26848
2023-12-01,11,24240
2023-12-01,12,10669
2023-12-01,13,17754
2023-12-01,14,50606
2023-12-01,15,53285
2023-12-01,16,70968
2023-12-01,17,23781
2023-12-01,18,10229
2023-12-01,19,63487
2023-12-01,20,20344
2023-12-01,21,73619
2023-12-01,22,229378
2023-12-01,23,70134
2023-12-01,24,363416
2023-12-01,25,125291
2023-12-01,26,30277
2023-12-01,27,39564
2023-12-01,28,587403
2023-12-01,29,67202
2023-12-01,30,48592
2023-12-01,31,82747
2023-12-01,32,535836
2023-12-01,33,118122
2023-12-01,34,29232
2023-12-01,35,45387
2023-12-01,36,11181
2023-12-01,37,6810
2023-12-01,38,46655
2023-12-01,39,34491
2023-12-01,40,27001
2023-12-01,41,111786
2023-12-01,42,55912
2023-12-01,43,81302
2023-12-01,44,60383
2023-12-01,45,12391
2023-12-01,46,29811
2023-12-01,47,4589
2023-12-01,48,14027
2023-12-01,49,55251
2023-12-01,50,16147
2023-12-01,51,17243
2023-12-01,52,5248
2023-12-01,53,29513
2023-12-01,54,10214
2023-12-01,55,4413
2023-12-01,56,92811
2023-12-01,57,14881
2023-12-01,58,28980
2023-12-01,59,17418
2023-12-01,60,34934
2023-12-01,61,37452
2023-12-01,62,11440
2023-12-01,63,22010
2023-12-01,64,12355
2023-12-01,65,20292
2023-12-01,66,45038
2023-12-01,67,36790
2023-12-01,68,44754
2023-12-01,69,59267
2023-12-01,70,26941
2023-12-01,71,63640
2023-12-01,72,13170
2023-12-01,73,32036
2023-12-01,74,7636
2023-12-01,75,24001
2023-12-01,76,257048
2023-12-01,77,110018
2024-01-01,1,88526
2024-01-01,2,69169
2024-01-01,3,144591
2024-01-01,4,71043
2024-01-01,5,71027
2024-01-01,6,414089
2024-01-01,7,319774
2024-01-01,8,930756
2024-01-01,9,6737
2024-01-01,10,24765
2024-01-01,11,23032
2024-01-01,12,9406
2024-01-01,13,17775
2024-01-01,14,48993
2024-01-01,15,51081
2024-01-01,16,66750
2024-01-01,17,22859
2024-01-01,18,10143
2024-01-01,19,62044
2024-01-01,20,20106
2024-01-01,21,69434
2024-01-01,22,209034
2024-01-01,23,67602
2024-01-01,24,330586
2024-01-01,25,121239
2024-01-01,26,29319
2024-01-01,27,39174
2024-01-01,28,554909
2024-01-01,29,68687
2024-01-01,30,48980
2024-01-01,31,74662
2024-01-01,32,483198
2024-01-01,33,119543
2024-01-01,34,27494
2024-01-01,35,45149
2024-01-01,36,10640
2024-01-01,37,6703
2024-01-01,38,45515
2024-01-01,39,34596
2024-01-01,40,26419
2024-01-01,41,161124
2024-01-01,42,66507
2024-01-01,43,79687
2024-01-01,44,59291
2024-01-01,45,12250
2024-01-01,46,29865
2024-01-01,47,4598
2024-01-01,48,13486
2024-01-01,49,54759
2024-01-01,50,15492
2024-01-01,51,16962
2024-01-01,52,5198
2024-01-01,53,28548
2024-01-01,54,10298
2024-01-01,55,4497
2024-01-01,56,90680
2024-01-01,57,14561
2024-01-01,58,29163
2024-01-01,59,17044
2024-01-01,60,33425
2024-01-01,61,36617
2024-01-01,62,11169
2024-01-01,63,21786
2024-01-01,64,12151
2024-01-01,65,19756
2024-01-01,66,44390
2024-01-01,67,36248
2024-01-01,68,44502
2024-01-01,69,57414
2024-01-01,70,25946
2024-01-01,71,61968
2024-01-01,72,11361
2024-01-01,73,30672
2024-01-01,74,6770
2024-01-01,75,22998
2024-01-01,76,287833
